TTN045	3	63.00 	11.56 	14.14 	15.64 	121.16	22.97		
TTN021	3	67.78 	11.52 	13.80 	12.40 	121.18	23.10		
TTN036	3	68.13 	5.44 	6.14 	10.36 	121.19	22.80		
TTN020	3	72.36 	7.26 	16.38 	11.20 	121.21	23.13		
TTN040	3	72.51 	7.06 	10.00 	8.54 	121.21	23.15		
TTN022	3	71.83 	15.26 	22.10 	19.04 	121.22	23.10		
TTN035	3	70.30 	7.24 	19.66 	16.52 	121.23	22.88		
TTN046	3	71.62 	6.34 	15.16 	14.22 	121.24	22.96		
TTN034	3	72.36 	9.24 	19.18 	19.28 	121.25	22.90		
HWA042	3	80.87 	7.84 	15.74 	13.80 	121.26	23.22		
TTN042	3	76.49 	9.02 	23.94 	16.44 	121.29	23.00		
HWA041	3	86.51 	14.36 	11.88 	18.74 	121.30	23.26		
TTN002	3	78.23 	9.20 	17.66 	17.70 	121.30	22.97		
HWA065	3	91.33 	5.46 	11.08 	15.00 	121.32	23.33		
HWA021	3	102.92 	5.46 	12.98 	7.38 	121.33	23.50		
TTN043	3	81.52 	5.86 	11.34 	16.70 	121.33	23.03		
HWA055	3	92.72 	9.54 	18.82 	16.44 	121.34	23.32		
HWA038	3	101.86 	7.30 	10.58 	8.28 	121.35	23.46		
HWA039	3	97.88 	6.78 	15.24 	15.18 	121.36	23.38		
HWA036	3	106.24 	6.22 	12.56 	12.78 	121.37	23.50		
TTN014	3	87.17 	7.18 	12.44 	13.88 	121.37	23.10		
HWA034	3	113.23 	9.44 	19.42 	19.56 	121.38	23.59		
ILA067	3	188.33 	3.34 	6.20 	9.96 	121.38	24.44		
TTN032	3	96.04 	4.22 	11.24 	15.28 	121.41	23.24		
HWA006	3	122.49 	4.46 	7.62 	10.48 	121.42	23.67		
HWA032	3	124.94 	7.66 	8.18 	11.86 	121.42	23.71		
TTN001	3	102.67 	6.66 	17.16 	15.32 	121.45	23.32		
TAP115	3	247.48 	2.92 	8.40 	7.16 	121.47	24.99		
TTN031	3	106.10 	4.40 	11.76 	9.60 	121.47	23.36		
HWA033	3	127.86 	5.36 	11.46 	16.00 	121.48	23.68		
HWA058	3	150.85 	5.06 	6.56 	8.76 	121.49	23.97		
HWA031	3	135.13 	5.54 	8.34 	7.20 	121.50	23.76		
HWA059	3	144.00 	4.16 	13.74 	10.30 	121.51	23.87		
HWA002	3	124.84 	4.92 	10.50 	8.14 	121.52	23.60		
HWA018	3	148.51 	4.60 	8.94 	9.54 	121.53	23.90		
HWA044	3	129.75 	3.10 	9.10 	7.12 	121.54	23.65		
HWA017	3	152.99 	3.54 	8.48 	6.86 	121.55	23.95		
HWA043	3	134.57 	2.92 	9.32 	6.32 	121.55	23.71		
HWA001	3	141.69 	3.94 	7.60 	10.50 	121.56	23.79		
HWA049	3	157.94 	3.00 	5.94 	8.20 	121.56	23.99		
HWA051	3	147.32 	7.22 	16.00 	11.44 	121.56	23.87		
TAP022	3	255.57 	5.88 	5.12 	8.86 	121.56	25.03		
HWA016	3	155.74 	3.42 	5.02 	8.38 	121.57	23.96		
HWA048	3	160.30 	4.02 	11.44 	7.78 	121.58	24.01		
HWA011	3	160.18 	4.44 	11.44 	9.54 	121.59	24.00		
HWA050	3	159.29 	5.02 	11.20 	8.60 	121.59	23.99		
HWA063	3	159.92 	4.42 	12.16 	8.10 	121.59	23.99		
HWA008	3	160.06 	5.94 	11.20 	10.24 	121.60	23.99		
HWA010	3	159.38 	4.74 	11.64 	11.04 	121.60	23.98		
HWA013	3	158.82 	6.02 	14.44 	9.40 	121.60	23.98		
HWA060	3	153.34 	5.18 	7.78 	9.52 	121.60	23.90		
HWA014	3	159.01 	6.60 	14.42 	8.90 	121.61	23.97		
HWA019	3	159.83 	3.98 	9.28 	12.26 	121.61	23.98		
HWA028	3	162.73 	4.20 	9.56 	9.66 	121.61	24.01		
HWA061	3	163.09 	3.64 	11.72 	8.58 	121.61	24.02		
HWA007	3	161.64 	2.66 	4.90 	8.48 	121.63	23.99		
ILA013	3	234.58 	4.48 	9.30 	11.40 	121.74	24.73		
ILA028	3	237.44 	3.94 	8.62 	8.82 	121.75	24.75		
ILA070	3	236.86 	5.24 	8.10 	7.36 	121.75	24.75		
ILA030	3	235.32 	5.36 	8.10 	10.92 	121.76	24.72		
ILA044	3	228.61 	5.14 	6.92 	11.00 	121.76	24.65		
ILA048	3	238.96 	4.22 	7.92 	9.72 	121.76	24.77		
ILA004	3	238.38 	3.06 	7.62 	8.20 	121.79	24.74		
ILA040	3	241.43 	3.12 	7.40 	9.60 	121.80	24.77		
ILA056	3	241.24 	2.76 	7.34 	8.60 	121.81	24.76		
ILA068	3	228.78 	2.96 	8.44 	8.20 	121.86	24.60		
CHY117	4	103.07 	53.42 	58.88 	68.40 	120.22	23.80		
KAU003	4	43.42 	19.84 	28.28 	38.56 	120.26	22.63		
KAU057	4	41.90 	25.40 	46.88 	44.76 	120.28	22.64		
KAU010	4	30.42 	33.64 	56.10 	39.26 	120.29	22.79		
KAU086	4	28.56 	34.06 	60.12 	64.24 	120.30	22.79		
KAU065	4	30.37 	29.10 	56.00 	52.28 	120.31	22.75		
KAU092	4	47.06 	24.92 	32.62 	37.64 	120.31	22.55		
KAU045	4	45.84 	20.20 	32.90 	33.20 	120.32	22.57		
KAU059	4	31.72 	17.30 	47.46 	40.06 	120.32	22.73		
KAU088	4	38.50 	30.30 	63.28 	44.88 	120.32	22.64		
KAU006	4	43.10 	22.48 	0.00 	36.04 	120.33	22.59		
KAU058	4	37.54 	24.46 	60.94 	53.64 	120.33	22.65		
KAU015	4	36.20 	24.06 	53.14 	48.94 	120.34	22.65		
KAU055	4	43.08 	14.24 	58.10 	44.50 	120.34	22.58		
KAU005	4	39.27 	26.80 	58.30 	56.22 	120.35	22.62		
