測站代碼 測站名稱 震度值 震央距(Km) 垂直向(gal) 南北向(gal) 東西向(gal) TWD97經度 TWD97緯度
ILA041 新南國小 5 138.32 22.60 61.96 99.54 121.80 24.72
ILA013 育才國小 5 134.77 39.72 146.60 134.16 121.74 24.73
ILA030 凱旋國小 5 136.07 29.48 108.44 115.56 121.76 24.73
ILA048 慈雲寺 5 139.55 29.54 75.06 88.52 121.76 24.77
ILA049 宜蘭氣象站 5 138.52 25.24 60.66 81.58 121.76 24.76
ENA 金洋國小 4 113.61 53.59 64.60 63.64 121.75 24.43
ILA050 金洋國小 4 113.61 53.60 62.92 63.46 121.75 24.43
ILA015 湖山國小 4 135.91 18.24 47.74 36.00 121.70 24.78
ILA016 大湖國小 4 132.76 37.02 71.00 78.72 121.69 24.75
ILA021 化育國小 4 127.20 26.74 68.96 59.94 121.65 24.71
ILA037 員山國小 5 134.54 24.88 103.60 68.72 121.72 24.74
ILA039 同樂國小 4 136.61 20.10 55.03 56.94 121.73 24.76
ILA051 內城 4 129.75 23.20 32.72 77.22 121.68 24.72
ILA001 頭城外澳分校 3 153.99 11.06 24.58 22.90 121.84 24.88
ILA002 二城國小 4 148.36 22.08 69.68 47.68 121.81 24.84
ILA003 玉田國小 4 143.43 18.42 71.06 57.12 121.79 24.80
ILA012 龍潭國小 5 138.75 26.74 60.66 80.80 121.74 24.78
ILA035 礁溪國小 4 144.07 12.44 45.46 66.04 121.77 24.82
ILA036 四結國小 4 140.62 22.66 65.14 46.78 121.76 24.79
ILA010 照安宮 4 134.48 22.90 39.90 58.44 121.79 24.62
ILA027 竹林國小 5 133.38 21.53 66.99 103.36 121.77 24.69
ILA006 育英國小 4 134.65 37.08 68.54 77.10 121.83 24.64
ILA007 士敏國小 5 133.01 35.76 84.88 60.48 121.85 24.59
ILA031 蘇澳國小 4 132.28 29.48 74.40 55.62 121.84 24.60
ILA032 馬賽國小 4 133.62 25.36 52.16 55.99 121.84 24.62
ILA052 蘇澳 4 134.54 18.36 38.76 25.78 121.86 24.61
HWA024 玉里 4 74.02 24.88 25.48 21.78 121.31 23.35
HWA054 三民國小 4 70.97 .36 49.64 15.50 121.35 23.43
HWA055 樂合國小 5 78.89 60.60 84.76 86.92 121.34 23.32
HWA005 花蓮糖廠 5 64.53 50.06 132.08 143.62 121.42 23.66
HWA006 光復國中 5 64.46 61.36 85.60 90.50 121.43 23.67
HWA015 吉安國小 5 76.44 50.78 70.40 104.02 121.56 23.97
HWA016 稻香國小 5 76.85 49.76 82.54 100.72 121.57 23.96
HWA017 南華國小 5 74.47 49.16 83.02 80.74 121.55 23.95
HWA049 太昌國小 5 77.05 37.20 84.22 97.68 121.56 23.99
